,FIPS,State,SizeRank,RegionName,zhvi_2017,zhvi_2018,zhvi_2019,zhvi_2020,zhvi_2021,B01002_001E,B01003_001E,B08134_001E,B15012_001E,B19013_001E,B19083_001E,B23025_005E,B25001_001E,B25002_002E,B25018_001E,B25035_001E,B25040_002E,B25064_001E,B25081_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,ALAND,AWATER,INTPTLAT,INTPTLONG,AREA
29,36059,NY,29,Nassau County,492626.7403469114,523007.70189849666,542685.3383831979,566597.1549979503,615887.2994382303,41.8,1391678.0,619162.0,0.353885022253711,126576.0,0.4552,0.02406303757047248,475728.0,0.953435576632025,6.6,1955,0.5763608616688528,1940.0,0.7785289072747452,0.6456263589709689,0.11537079698033596,0.002617703233075467,0.10517231715957283,0.0002479021727727247,0.07552249873893242,0.055442422744341725,0.03352571500016527,0.021916707744176454,0.6276004438712524,0.37239955612874764,40.729612,-73.589414,1174251311
30,39049,OH,30,Franklin County,163020.9750064349,177005.7850676861,190406.7633867473,206973.26011433374,236560.05265705843,34.4,1313598.0,599522.0,0.2987504548575744,65999.0,0.4629,0.026527141484685574,576698.0,0.9313522849047509,5.4,1977,0.6445331872141051,1070.0,0.49932026814727987,0.6348418618176946,0.22934565978328225,0.002162762123572052,0.05413908973673833,0.00021467754975266405,0.02249927298914889,0.056796675999811204,0.015168263045467487,0.04162841295434372,0.9793821225276569,0.02061787747234308,39.969875,-83.009086,1407979703
31,26125,MI,31,Oakland County,230962.27799429212,247704.0894489399,259640.49714482052,269961.68539593654,303903.8817870514,41.0,1271983.0,564409.0,0.3735419419913631,86275.0,0.4668,0.02631167240442679,551642.0,0.9433527541412727,6.2,1975,0.8058052142512716,1156.0,0.6766961181345873,0.7294122641576185,0.13236183187982858,0.0020086746442365975,0.07828170659513531,0.00026336829973356565,0.010011926260020771,0.047660228163426716,0.018256533302724958,0.029403694860701754,0.9560958482433873,0.04390415175661267,42.660452,-83.38421,2349732995
32,27053,MN,32,Hennepin County,268843.5532292078,289368.60079340945,302177.1928250507,317540.27665366087,348205.24263170623,36.9,1270283.0,586541.0,0.40372027335640953,85438.0,0.4788,0.025210917567187786,550254.0,0.9514297033733512,5.8,1971,0.7308370316253948,1244.0,0.6002427969628572,0.6990780794515867,0.1326523302287758,0.006517445325175571,0.07229884994131229,0.0002739547014326729,0.03256518429357867,0.05661415605813823,0.015841351887728956,0.04077280417040927,0.9130719622236548,0.08692803777634518,45.006121,-93.475228,1571473146
33,48453,TX,33,Travis County,330734.89189929597,344234.1095867874,358451.73564555665,391000.4572992657,485684.7226575589,34.9,1267795.0,574680.0,0.40003391715537606,85043.0,0.477,0.02541972479777882,550078.0,0.9348256065503437,4.9,1994,0.37948618195964934,1422.0,0.49832932784077894,0.6616527119920808,0.0829211347260401,0.0074286457984137815,0.07065101219045666,0.0004204149724521709,0.08786357415828269,0.08906250616227387,0.0548132781719442,0.034249227990329666,0.9700182261080526,0.02998177389194746,30.239513,-97.69127,2654806493
34,39035,OH,34,Cuyahoga County,116072.70027068029,124284.87052353297,132236.3504790707,139830.6077478006,160372.92802755753,40.3,1263667.0,538096.0,0.26322282689980825,55109.0,0.5086,0.038842511516087704,616424.0,0.8942984049939652,5.7,1956,0.723273266452961,875.0,0.5207065266764435,0.6062443665934143,0.291524586778004,0.0022197303561776955,0.03127960135067229,0.00034265356300354445,0.018634656123804768,0.04975440523492344,0.015755733116398545,0.0339986721185249,0.3670815359486991,0.6329184640513009,41.555037,-81.604957,3225904539
35,42003,PA,35,Allegheny County,139162.8498463525,148894.78596898387,158318.49900933818,171197.98483830687,196726.6764284527,40.7,1246116.0,547685.0,0.3432665979732224,66659.0,0.4823,0.027506267474296135,601235.0,0.9077365755486624,5.9,1957,0.7386612555822598,962.0,0.5899074405182666,0.7842736952258056,0.12679798670428757,0.001090588677137602,0.03938076390961997,0.00033223231224059396,0.007961538091156843,0.04016319507975181,0.009153240950280712,0.031009954129471093,0.9807818047418805,0.01921819525811951,40.469757,-79.980451,1927615809
36,49035,UT,36,Salt Lake County,314659.2036409022,344522.00618425774,368740.3362961703,402502.03289517853,482750.3225269176,33.2,1173331.0,530926.0,0.2584411389454468,82206.0,0.4315,0.021139814766677093,421276.0,0.9485088160730732,6.3,1983,0.8044132587662245,1258.0,0.6389801460325297,0.7597174198925963,0.018927310366810387,0.008826153915646992,0.041028490681657606,0.01530003042619687,0.09124876100605882,0.06495183371103294,0.0299361390775493,0.03501569463348365,0.93441655354007,0.06558344645992996,40.667883,-111.92424,2086731506
37,06013,CA,37,Contra Costa County,582488.855671506,628839.3773548561,641058.1213757398,667794.7261645325,779781.244687337,39.9,1161643.0,474369.0,0.3293567817307038,110455.0,0.468,0.03044480963600693,421239.0,0.961701077060766,5.7,1977,0.6497237910070055,2061.0,0.6442399682840383,0.49974303637175965,0.08630878850042568,0.006720653419337955,0.17812529322692083,0.004830227531177823,0.11725030839939637,0.10702169255098166,0.04687670824857551,0.06014498430240616,0.891761895956445,0.10823810404355502,37.919479,-121.951543,2082117282
38,51059,VA,38,Fairfax County,552826.4314723095,568795.5195107079,583385.8945947448,613272.3448289561,668742.2166357875,38.3,1146825.0,503905.0,0.47236762365661716,133974.0,0.4312,0.023129945719704403,425294.0,0.9609187997009128,6.5,1982,0.5297911562354513,1977.0,0.6585491448268727,0.5664246942646001,0.09815708586750375,0.0036300220173086564,0.20049964031129422,0.0006007891352211541,0.05464216423604299,0.07604560416802912,0.03198657162165108,0.044059032546378045,0.9619382992800442,0.0380617007199558,38.82952,-77.273252,1052810049
